id,l10n_py_locality_id:id,code,description
l10n_py_neighborhood_1,l10n_py_locality_1,1,"MANORA"
l10n_py_neighborhood_2,l10n_py_locality_1,2,"REPUBLICANO 'A'"
l10n_py_neighborhood_3,l10n_py_locality_1,3,"VIRGEN DE LA ASUNCION"
l10n_py_neighborhood_4,l10n_py_locality_1,4,"SANTISIMA TRINIDAD"
l10n_py_neighborhood_5,l10n_py_locality_1,5,"DE LA RESIDENTA 'A'"
l10n_py_neighborhood_6,l10n_py_locality_1,6,"MBOCAYATY"
l10n_py_neighborhood_7,l10n_py_locality_1,7,"ÑU GUAZU"
l10n_py_neighborhood_8,l10n_py_locality_1,8,"SAN PEDRO Y SAN PABLO"
l10n_py_neighborhood_9,l10n_py_locality_1,9,"HIPODROMO"
l10n_py_neighborhood_10,l10n_py_locality_1,10,"TEMBETARY"
l10n_py_neighborhood_11,l10n_py_locality_1,11,"SANTA MARIA"
l10n_py_neighborhood_12,l10n_py_locality_1,12,"MARISCAL ESTIGARRIBIA"
l10n_py_neighborhood_13,l10n_py_locality_1,13,"YCUA SATI"
l10n_py_neighborhood_14,l10n_py_locality_1,14,"VILLA MORRA"
l10n_py_neighborhood_15,l10n_py_locality_1,15,"ITA ENRAMADA 'A'"
l10n_py_neighborhood_16,l10n_py_locality_1,16,"LAS MERCEDES"
l10n_py_neighborhood_17,l10n_py_locality_1,17,"MBURICAO"
l10n_py_neighborhood_18,l10n_py_locality_1,18,"BERNARDINO CABALLERO"
l10n_py_neighborhood_19,l10n_py_locality_1,19,"VISTA ALEGRE"
l10n_py_neighborhood_20,l10n_py_locality_1,20,"SAN ROQUE"
l10n_py_neighborhood_21,l10n_py_locality_1,21,"SAN VICENTE"
l10n_py_neighborhood_22,l10n_py_locality_1,22,"GENERAL DIAZ"
l10n_py_neighborhood_23,l10n_py_locality_1,23,"BARRIO OBRERO"
l10n_py_neighborhood_24,l10n_py_locality_1,24,"ROBERTO L. PETTIT"
l10n_py_neighborhood_25,l10n_py_locality_1,25,"LA ENCARNACION"
l10n_py_neighborhood_26,l10n_py_locality_1,26,"ITA PYTA PUNTA"
l10n_py_neighborhood_27,l10n_py_locality_1,27,"SAJONIA"
l10n_py_neighborhood_28,l10n_py_locality_1,28,"TACUMBU"
l10n_py_neighborhood_29,l10n_py_locality_1,29,"JARA"
l10n_py_neighborhood_30,l10n_py_locality_1,30,"LAS LOMAS"
l10n_py_neighborhood_31,l10n_py_locality_1,31,"RECOLETA"
l10n_py_neighborhood_32,l10n_py_locality_1,32,"LUIS ALBERTO DE HERRERA"
l10n_py_neighborhood_33,l10n_py_locality_1,33,"CIUDAD NUEVA"
l10n_py_neighborhood_34,l10n_py_locality_1,34,"SAN RAFAEL"
l10n_py_neighborhood_35,l10n_py_locality_1,35,"PINOZA"
l10n_py_neighborhood_36,l10n_py_locality_1,36,"LOS LAURELES"
l10n_py_neighborhood_37,l10n_py_locality_1,37,"SAN BLAS"
l10n_py_neighborhood_38,l10n_py_locality_1,38,"LOMA PYTA 'A'"
l10n_py_neighborhood_39,l10n_py_locality_1,39,"PETTIROSSI"
l10n_py_neighborhood_40,l10n_py_locality_1,40,"SAN CRISTOBAL"
l10n_py_neighborhood_41,l10n_py_locality_1,41,"CATEDRAL"
l10n_py_neighborhood_42,l10n_py_locality_1,42,"TERMINAL"
l10n_py_neighborhood_43,l10n_py_locality_1,43,"RECOLETA"
l10n_py_neighborhood_44,l10n_py_locality_1,44,"REPUBLICANO 'B'"
l10n_py_neighborhood_45,l10n_py_locality_1,45,"DE LA RESIDENTA 'B'"
l10n_py_neighborhood_46,l10n_py_locality_1,46,"ITA ENRAMADA 'B'"
l10n_py_neighborhood_47,l10n_py_locality_1,47,"NAZARETH"
l10n_py_neighborhood_48,l10n_py_locality_1,48,"CARLOS ANTONIO LOPEZ"
l10n_py_neighborhood_49,l10n_py_locality_1,49,"BAÑADO"
l10n_py_neighborhood_50,l10n_py_locality_1,50,"SAN ANTONIO"
l10n_py_neighborhood_51,l10n_py_locality_1,51,"BELLA VISTA"
l10n_py_neighborhood_52,l10n_py_locality_1,52,"YTAY"
l10n_py_neighborhood_53,l10n_py_locality_1,53,"MBURUCUYA"
l10n_py_neighborhood_54,l10n_py_locality_1,54,"RODRIGUEZ DE FRANCIA"
l10n_py_neighborhood_55,l10n_py_locality_1,55,"MARISCAL LOPEZ"
l10n_py_neighborhood_56,l10n_py_locality_1,56,"NTRA. SRA. DEL HUERTO"
l10n_py_neighborhood_57,l10n_py_locality_1,57,"SANTA ANA"
l10n_py_neighborhood_58,l10n_py_locality_1,58,"VILLA AURELIA"
l10n_py_neighborhood_59,l10n_py_locality_1,59,"SAN JORGE"
l10n_py_neighborhood_60,l10n_py_locality_1,60,"LOMA PYTA 'B'"
l10n_py_neighborhood_61,l10n_py_locality_1,61,"BOTANICO 'A'"
l10n_py_neighborhood_62,l10n_py_locality_1,62,"VIRGEN DE FATIMA"
l10n_py_neighborhood_63,l10n_py_locality_1,63,"SANTA ROSA"
l10n_py_neighborhood_64,l10n_py_locality_1,64,"SANTO DOMINGO"
l10n_py_neighborhood_65,l10n_py_locality_1,65,"SALVADOR DEL MUNDO"
l10n_py_neighborhood_66,l10n_py_locality_1,66,"BOTANICO 'B'"
l10n_py_neighborhood_67,l10n_py_locality_1,67,"MADAME LINCH"
l10n_py_neighborhood_68,l10n_py_locality_1,68,"TABLADA NUEVA"
l10n_py_neighborhood_69,l10n_py_locality_1,69,"ZEBALLOS CUE"
l10n_py_neighborhood_70,l10n_py_locality_1,70,"CAÑADA DEL YBYRAI"
l10n_py_neighborhood_1091,l10n_py_locality_1,1091,"DR. ROBERTO L. PETIT"
l10n_py_neighborhood_1092,l10n_py_locality_1,1092,"RICARDO BRUGADA"
l10n_py_neighborhood_1093,l10n_py_locality_1,1093,"SAN FELIPE"
l10n_py_neighborhood_1094,l10n_py_locality_1,1094,"VIRGEN DEL HUERTO"
l10n_py_neighborhood_1095,l10n_py_locality_1,1095,"BANCO SAN MIGUEL"
l10n_py_neighborhood_1096,l10n_py_locality_1,1096,"PIRIZAL"
l10n_py_neighborhood_1097,l10n_py_locality_1,1097,"PANAMBI RETA"
l10n_py_neighborhood_1098,l10n_py_locality_1,1098,"PANAMBI VERA"
l10n_py_neighborhood_1099,l10n_py_locality_1,1099,"LAS CARMELITAS"
l10n_py_neighborhood_1102,l10n_py_locality_1,1102,"SAN CAYETANO"
